id,text,category,date
article_1,Minimalist lifestyle gaining popularity,lifestyle,2024-07-05
article_2,Tips for mindful living,lifestyle,2024-07-12
article_3,New café opens downtown,foodanddrink,2024-04-05
article_4,Trendy beverages on the rise,foodanddrink,2024-04-12
article_5,Tips for staying fit,health,2024-06-15
article_6,US Government announces new policy,news,2024-06-25
article_7,NBA match Celtics vs MAVERICKS draws attention,sports,2024-06-15
article_8,Car review: Tesla Model Y delivers on performance and range,autos,2024-07-15
article_9,Finals MVP: Jaylen Brown in the NBA Championship,sports,2024-06-18
article_10,Bobby Finke breaks record 1500m freestyle in Olympic Games Paris 2024,sports,2024-08-04
article_11,New infrastructure plan unveiled,news,2024-06-27
article_12,Celtics wins NBA championship,sports,2024-06-17
article_13,Stock market shows signs of recovery,finance,2024-01-20
article_14,Auto industry reports boost in Electric vehicles demand,autos,2024-07-18
article_15,Trends in home design,lifestyle,2024-07-25
article_16,Experts discuss mental well-being,health,2024-06-18
article_17,New health guidelines released,health,2024-06-10
article_18,Joe Biden and Donald Trump have an upcoming debate,news,2024-07-26
article_19,Recipe for a perfect brunch,foodanddrink,2024-04-07
article_20,Electric vehicles see record sales in Q2,autos,2024-07-10
article_21,New startup in San Francisco attracts investors,finance,2024-01-25
